PO Number,PO Item,Latest Valid GR,Latest Valid GR Posting Date,GR Amt,Invoice Amt,Down Payment Amt,Down Payment Clearing
4500000102,60,,,3362.83,3362.83,0.0,0.0
4500000102,70,,,2566.37,2566.37,0.0,0.0
4500000102,80,,,2654.87,2654.87,0.0,0.0
4500000102,90,,,1061.95,1061.95,0.0,0.0
4500000102,100,,,5221.24,5221.24,0.0,0.0
4500000102,110,,,3008.85,3008.85,0.0,0.0
4500000102,120,,,3092.92,3092.92,0.0,0.0
4500000102,130,,,4672.57,4672.57,0.0,0.0
4500000102,140,,,265.49,265.49,0.0,0.0
4500000102,150,,,4867.26,4867.26,0.0,0.0
4500000102,160,,,22964.6,22964.6,0.0,0.0
4500000102,170,,,371.68,371.68,0.0,0.0
4500000102,180,,,460.18,460.18,0.0,0.0
4500000103,10,,,6180.53,6180.53,0.0,0.0
4500000103,20,,,4539.82,4539.82,0.0,0.0
4500000104,10,,,34430.09,34430.09,0.0,0.0
4500000105,10,,,3292.04,0.0,0.0,0.0
4500000106,10,,,712.39,712.39,0.0,0.0
4500000107,10,,,825.0,825.0,0.0,0.0
4500000108,10,,,679.65,679.65,0.0,0.0
4500000108,20,,,5515.04,5515.04,0.0,0.0
4500000108,30,,,319.47,319.47,0.0,0.0
4500000108,40,,,5309.73,5309.73,0.0,0.0
4500000109,10,,,154867.26,151579.65,0.0,0.0
4500000109,20,,,7938.05,7938.05,0.0,0.0
4500000109,30,,,8628.32,8628.32,0.0,0.0
4500000109,40,,,11946.9,11946.9,0.0,0.0
4500000110,10,,,1946.9,1946.9,0.0,0.0
4500000111,10,,,33185.84,33185.84,0.0,0.0
4500000111,20,,,15929.2,15929.22,0.0,0.0
4500000111,30,,,3539.82,3539.82,0.0,0.0
4500000111,40,,,672.57,672.57,0.0,0.0
4500000112,10,,,464.6,464.6,0.0,0.0
4500000112,20,,,3539.82,3539.82,0.0,0.0
4500000113,10,,,1327.43,1327.43,0.0,0.0
4500000114,10,,,12035.4,12035.41,0.0,0.0
4500000115,10,,,349557.52,349557.52,0.0,0.0
4500000116,10,,,76991.15,76991.15,0.0,0.0
4500000117,10,,,1876.99,1876.99,0.0,0.0
4500000118,10,,,7610.62,7610.62,0.0,0.0
4500000118,20,,,13318.58,13318.58,0.0,0.0
4500000118,30,,,24530.97,24530.97,0.0,0.0
4500000118,40,,,2920.35,2920.35,0.0,0.0
4500000118,50,,,2530.97,2530.97,0.0,0.0
4500000118,60,,,2300.88,2300.88,0.0,0.0
4500000118,70,,,29203.54,29203.54,0.0,0.0
4500000118,80,,,8840.71,8840.71,0.0,0.0
4500000118,90,,,11504.42,11504.42,0.0,0.0
4500000119,10,,,1158.41,1158.41,0.0,0.0
4500000123,10,,,27889.38,27889.38,0.0,0.0
4500000124,10,,,5575.22,5575.22,0.0,0.0
4500000124,20,,,29269.91,29269.91,0.0,0.0
4500000124,30,,,9163.72,9163.72,0.0,0.0
4500000125,10,,,70000.0,70000.0,0.0,0.0
4500000126,10,,,0.0,0.0,0.0,0.0
4500000127,10,,,16862.34,16862.35,0.0,0.0
4500000127,20,,,4146.62,4146.62,0.0,0.0
4500000127,30,,,48483.1,46245.42,0.0,0.0
4500000127,40,,,9039.18,8217.44,0.0,0.0
4500000127,50,,,5486.73,5486.73,0.0,0.0
4500000127,60,,,60126.32,60126.32,0.0,0.0
4500000127,70,,,67425.13,67425.13,0.0,0.0
4500000127,80,,,32448.41,31984.86,0.0,0.0
4500000127,90,,,1911.5,1911.5,0.0,0.0
4500000127,100,,,2336.28,2336.28,0.0,0.0
4500000127,110,,,19407.08,18955.75,0.0,0.0
4500000127,120,,,54070.8,54070.8,0.0,0.0
4500000127,130,,,30362.83,30362.83,0.0,0.0
4500000128,10,,,1792.04,1792.04,0.0,0.0
4500000129,10,,,1831.86,1831.86,0.0,0.0
4500000130,10,,,61008.85,61008.85,0.0,0.0
4500000130,20,,,203362.83,203362.83,0.0,0.0
4500000131,10,,,16752.21,0.0,0.0,0.0
4500000131,20,,,9880.53,0.0,0.0,0.0
4500000132,10,,,15646.02,15646.02,0.0,0.0
4500000132,20,,,28292.04,28292.04,0.0,0.0
4500000133,10,,,13995.8,13995.8,0.0,0.0
4500000133,20,,,8237.39,8237.39,0.0,0.0
4500000133,30,,,13327.43,13327.43,0.0,0.0
4500000135,10,,,75440.71,75440.71,0.0,0.0
4500000136,10,,,5132.74,5132.74,0.0,0.0
4500000136,20,,,25663.72,25663.72,0.0,0.0
4500000137,10,,,13274.34,13274.34,0.0,0.0
4500000139,10,,,4088.5,4088.5,0.0,0.0
4500000139,20,,,7787.61,7787.61,0.0,0.0
4500000139,30,,,20665.58,20665.58,0.0,0.0
4500000139,40,,,2654.87,2654.87,0.0,0.0
4500000140,10,,,8.85,8.85,0.0,0.0
4500000141,10,,,16991.15,16991.15,0.0,0.0
4500000142,10,,,132212.39,132212.38,0.0,0.0
4500000142,20,,,38938.05,38938.05,0.0,0.0
4500000143,10,,,115030.09,115030.08,0.0,0.0
4500000143,20,,,154690.27,154690.27,0.0,0.0
4500000143,30,,,32187.61,32187.61,0.0,0.0
4500000143,40,,,57716.81,57716.81,0.0,0.0
4500000143,50,,,12840.71,12840.71,0.0,0.0
4500000143,60,,,253000.01,253000.01,0.0,0.0
4500000143,70,,,28628.32,28628.32,0.0,0.0
4500000143,80,,,14159.29,14159.29,0.0,0.0
4500000143,90,,,46849.56,46849.56,0.0,0.0
4500000144,10,,,49646.02,49646.02,0.0,0.0
4500000145,10,,,101.77,101.77,0.0,0.0
4500000146,10,,,9656.64,9656.63,0.0,0.0
4500000146,20,,,389203.54,389203.54,0.0,0.0
4500000147,10,,,362.83,362.83,0.0,0.0
4500000148,10,,,5906.19,5906.19,0.0,0.0
4500000149,10,,,2980.0,0.0,0.0,0.0
4500000150,10,,,8849.56,8849.56,0.0,0.0
4500000151,10,,,19911.5,19911.5,0.0,0.0
4500000152,10,,,2654.87,2654.87,0.0,0.0
4500000152,20,,,1327.43,1327.43,0.0,0.0
4500000153,10,,,5309.73,5309.73,0.0,0.0
4500000153,20,,,1292.92,1194.69,0.0,0.0
4500000154,10,,,108318.58,108318.58,0.0,0.0
4500000155,10,,,70056.64,70056.64,0.0,0.0
4500000155,20,,,8778.76,8778.76,0.0,0.0
4500000159,10,5000009158,20230501,11808.9,11808.9,0.0,0.0
4500000165,10,5000016011,20230705,116.0,116.0,0.0,0.0
4500000166,10,5000000544,20230118,530.4,530.4,0.0,0.0
4500000167,10,5000000614,20230125,7800.0,7800.0,0.0,0.0
4500000172,10,5000000549,20230119,1105.0,1105.0,0.0,0.0
4500000172,20,5000000857,20230202,582.5,582.5,0.0,0.0
4500000173,10,5000009158,20230501,17319.72,17319.72,0.0,0.0
4500000174,10,5000001562,20230208,116480.0,116480.0,0.0,0.0
4500000175,10,,,0.0,0.0,0.0,0.0
4500000175,20,5000016012,20230705,174.0,174.0,0.0,0.0
4500000176,10,,,0.0,0.0,0.0,0.0
4500000176,20,,,0.0,0.0,0.0,0.0
4500000178,10,5000001711,20230210,2156.82,2156.82,0.0,0.0
4500000181,10,5000001710,20230210,6432.39,5851.25,0.0,0.0
4500000184,10,5000001705,20230210,98800.0,65000.0,0.0,0.0
4500000185,10,5000005649,20230328,2577.76,2577.76,0.0,0.0
4500000185,20,5000005647,20230328,486.0,486.0,0.0,0.0
4500000185,30,5000005650,20230328,348.0,348.0,0.0,0.0
4500000185,40,5000016013,20230705,174.0,174.0,0.0,0.0
4500000186,10,5000000593,20230124,24315.0,24315.0,0.0,0.0
4500000186,20,5000000593,20230124,3242.0,3242.0,0.0,0.0
4500000186,30,5000000593,20230124,1423.8,1423.8,0.0,0.0
4500000186,40,5000000593,20230124,1248.0,1248.0,0.0,0.0
4500000186,50,5000000593,20230124,7899.39,7899.39,0.0,0.0
4500000186,60,5000000593,20230124,1526.4,1526.4,0.0,0.0
4500000186,70,5000000593,20230124,3552.0,3552.0,0.0,0.0
4500000186,80,5000000592,20230124,12587.4,12587.4,0.0,0.0
4500000188,10,5000021828,20230811,867.0,867.27,0.0,0.0
4500000188,20,5000021828,20230811,1500.0,1500.0,0.0,0.0
4500000189,10,5000009153,20230501,2419.7,2419.7,0.0,0.0
4500000190,10,5000000545,20230118,13062.5,13062.5,0.0,0.0
4500000191,10,5000004437,20230315,90.0,90.0,0.0,0.0
4500000191,20,5000004437,20230315,288.3,288.3,0.0,0.0
4500000191,30,5000009158,20230501,7872.6,7872.6,0.0,0.0
4500000191,40,5000004437,20230315,660.0,660.0,0.0,0.0
4500000192,10,5000008685,20230427,130000.0,130000.0,0.0,0.0
4500000194,10,5000000555,20230120,185.0,186.0,0.0,0.0
4500000194,20,5000000555,20230120,1340.0,1340.0,0.0,0.0
4500000195,10,,,6974.4,8563.1,0.0,0.0
4500000195,20,5000098924,20250505,6360.12,3067.05,0.0,0.0
4500000196,10,5000000618,20230125,4950.0,4950.0,0.0,0.0
4500000196,20,5000000618,20230125,2040.0,2040.0,0.0,0.0
4500000196,30,5000000618,20230125,600.0,600.0,0.0,0.0
4500000197,20,5000012097,20230602,3840.0,3840.0,0.0,0.0
4500000198,10,5000001709,20230210,3929.55,3929.55,0.0,0.0
4500000199,10,5000000579,20230120,3929.55,3929.55,0.0,0.0
4500000200,10,5000000580,20230120,3929.55,3929.55,0.0,0.0
4500000201,10,5000000581,20230120,2156.82,2156.82,0.0,0.0
4500000202,10,5000000583,20230120,3929.55,3929.55,0.0,0.0
